id,Product_Class,Product_SubClass,Product_Item,SN,Code,FA_Applicant,FA_Product_Line,PO,GRV_By,Good_Received_Date,Location,Device_Item_Status,Comments,Create_Time,reserve1,Product,x
,RRH,RRH,RRH,RT143981102,3BK60999AAAE,RRH 2*5 MRO B38,LR14 FI APP,AWSR114960,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,RT143981056,3BK60999AAAE,RRH 2*5 MRO B38,LR14 FI APP,AWSR114960,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,RT143981103,3BK60999AAAE,RRH 2*5 MRO B38,LR14 FI APP,AWSR114960,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,RT143981098,3BK60999AAAE,RRH 2*5 MRO B38,LR14 FI APP,AWSR114960,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,RT143882546,3BK60990ABAG,RRH 2*5 MCO B25,LR14 FI APP,AWSR114427,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,RT143880626,3BK60990ABAG,RRH 2*5 MCO B25,LR14 FI APP,AWSR114427,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,RT143882602,3BK60990ABAG,RRH 2*5 MCO B25,LR14 FI APP,AWSR114427,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,YP143906A2B,3JR40830AAAD,RRH 8*10 1935 MHz,LR14 FI APP,WM1423,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,YP143906A2A,3JR40830AAAD,RRH 8*10 1935 MHz,LR14 FI APP,WM1423,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,13W351Z10658,109766345,AWS RRH2x40 Band12/17,LR14 FI APP,AWSR114423,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,13W351Z10969,109766345,AWS RRH2x40 Band12/17,LR14 FI APP,AWSR114423,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,13W351Z10442,109766345,AWS RRH2x40 Band12/17,LR14 FI APP,AWSR114423,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
,RRH,RRH,RRH,13W351Z10652,109766345,AWS RRH2x40 Band12/17,LR14 FI APP,AWSR114423,ZHAO Hui H,2014-12-12 06:51:11,lab store,free for use,,2014-12-12 06:51:11,,TBD,
